TRANS;ITEM
trans01;banana
trans01;orange
trans01;apple
trans01;coke
trans02;orange
trans02;bread
trans02;butter
trans02;cheese
trans02;coke
trans03;orange
trans03;apple
trans03;ham
trans03;cheese
trans04;banana
trans04;orange
trans04;bread
trans04;ham
trans04;coke
trans05;banana
trans05;apple
trans06;orange
trans06;apple
trans06;coke
trans07;banana
trans07;apple
trans08;banana
trans08;orange
trans08;bread
trans08;butter
trans08;cheese
trans09;banana
trans09;apple
trans09;coke
trans10;banana
trans10;ham
trans10;cheese
trans10;coke
trans11;apple
trans12;apple
trans13;coke
trans14;coke
trans15;bread
